About,Über,
Active,Aktiv,
Address,Adresse,
Amended From,Berichtigung von,
Apps,Apps,
Basic Info,Grundlegende Informationen,
City,Ort,
Company Name,Firma,
Country,Land,
Enabled,Aktiviert,
Frappe Support,Frappe Support,
Inactive,Inaktiv,
Keyboard Shortcuts,Tastaturkürzel,
Log out,Abmelden,
None,Keine,
Postal Code,Postleitzahl,
Reload,Neu laden,
Session Defaults,Sitzungsstandards,
Status,Status,
System Health,Systemgesundheit,
System Manager,System-Manager,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
User Settings,Benutzereinstellungen,
View Website,Webseite anzeigen,
Workspace Settings,Arbeitsbereich Einstellungen,
